# lbd[m] R[-] T[-]
5.920000000000000071e-07 5.652460039347231291e-01 2.132644202758757906e-02
5.940000000000000515e-07 6.831176703971979514e-01 5.750866544004516225e-03
5.959999999999999900e-07 8.242473706247778198e-01 3.570957067024770645e-04
5.980000000000000343e-07 8.939804199487633163e-01 2.263366893988241765e-05
6.000000000000000787e-07 9.216563788416277658e-01 2.536771308109953033e-06
6.020000000000000172e-07 9.362972816454727676e-01 4.182390336323007292e-07
6.040000000000000616e-07 9.455540276467181426e-01 9.028787435187684936e-08
6.060000000000000001e-07 9.520020334136564122e-01 2.384231021819041533e-08
6.080000000000000445e-07 9.567810851033833330e-01 7.381327059886954107e-09
6.100000000000000889e-07 9.604786343274210880e-01 2.603879943996341614e-09
6.120000000000000274e-07 9.630526778661574472e-01 1.044599573704810482e-09
6.140000000000000717e-07 9.651410542633145351e-01 4.592354392362015460e-10
6.160000000000000102e-07 9.668632348872048254e-01 2.188718066240496739e-10
6.180000000000000546e-07 9.683012849851867498e-01 1.121302995484363232e-10
6.199999999999999931e-07 9.695135776778980308e-01 6.132850536246133508e-11
6.220000000000000375e-07 9.705699928516698938e-01 3.574054585068598561e-11
6.240000000000000819e-07 9.714757971845514595e-01 2.199053966610058223e-11
6.260000000000000204e-07 9.722553007151353288e-01 1.423059771060593357e-11
6.280000000000000648e-07 9.729275319572614489e-01 9.654014165239168570e-12
6.300000000000000033e-07 9.735074173527261676e-01 6.846688165829317077e-12
6.320000000000000476e-07 9.743263895469863600e-01 5.076128863851441313e-12
6.340000000000000920e-07 9.750694566715197853e-01 3.914044984692249514e-12
6.360000000000000305e-07 9.757464039011926049e-01 3.133239201623770112e-12
6.380000000000000749e-07 9.763653597847586907e-01 2.599964307691147771e-12
6.400000000000000134e-07 9.769331643056888836e-01 2.233379255986559228e-12
6.420000000000000578e-07 9.770585018642932162e-01 1.982533630935671277e-12
6.439999999999999963e-07 9.771446629639296555e-01 1.815773299040737196e-12
6.460000000000000406e-07 9.771937826468074517e-01 1.714401594957708692e-12
6.480000000000000850e-07 9.772074953228258032e-01 1.667445005390095946e-12
6.500000000000000235e-07 9.771869049130638141e-01 1.669563054772772913e-12
6.520000000000000679e-07 9.773073293487952728e-01 1.724914873256861813e-12
6.540000000000000064e-07 9.773962156924556055e-01 1.834808562291840799e-12
6.560000000000000508e-07 9.774545077100302848e-01 2.008726654174985882e-12
6.579999999999999893e-07 9.774827410750126511e-01 2.262811322436921990e-12
6.600000000000000337e-07 9.774810665519226838e-01 2.622437590951716959e-12
6.620000000000000780e-07 9.774667422413778617e-01 3.078317403084185593e-12
6.640000000000000165e-07 9.774256010590541832e-01 3.705390139630789293e-12
6.660000000000000609e-07 9.773571696704899114e-01 4.573994178690158905e-12
6.679999999999999994e-07 9.772605679368182585e-01 5.791103527507766702e-12
6.700000000000000438e-07 9.771345715228936246e-01 7.521910408835356475e-12
6.720000000000000882e-07 9.769503283454562537e-01 1.010501306721206276e-11
6.740000000000000267e-07 9.767305943992569128e-01 1.395325838536136990e-11
6.760000000000000711e-07 9.764724624006753118e-01 1.981512260151734446e-11
6.780000000000000096e-07 9.761723452494274200e-01 2.896093801783083579e-11
6.800000000000000539e-07 9.758258171385064683e-01 4.360159377036839923e-11
6.819999999999999924e-07 9.754041081786608558e-01 6.806119212785908953e-11
6.840000000000000368e-07 9.749211682793417211e-01 1.097682043637098385e-10
6.860000000000000812e-07 9.743680086787933625e-01 1.831935833692074361e-10
6.880000000000000197e-07 9.737332856475057197e-01 3.169615112121105219e-10
6.900000000000000641e-07 9.730023817357581484e-01 5.698082741406497008e-10
6.920000000000000026e-07 9.722040519201372577e-01 1.035376914508060599e-09
6.940000000000000469e-07 9.712803009045483105e-01 1.958554842184165109e-09
6.960000000000000913e-07 9.702030547834845642e-01 3.870087674556479306e-09
6.980000000000000298e-07 9.689342759676362604e-01 8.021900548979564714e-09
7.000000000000000742e-07 9.674210100682966162e-01 1.753433201263699041e-08
7.020000000000000127e-07 9.655356723705715849e-01 4.111863978790094180e-08
7.040000000000000571e-07 9.631991892158114910e-01 1.034379533492228212e-07
7.059999999999999956e-07 9.602214013285049754e-01 2.825480418000939678e-07
7.080000000000000400e-07 9.562791960019256798e-01 8.523954243437445055e-07
7.100000000000000843e-07 9.507689415574341885e-01 2.911573147801069021e-06
